Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],1480,0,8,10.616791056983512,5.179374973522499,143.75341701088473,2.0,16.595635837254218,0.0,8,9,11,11,15,22,37,51,120,140,140
GET,/api/recipes/ [list],2443,0,8,10.792065008295733,5.1198750152252614,173.14758399152197,52.0,27.394012398927067,0.0,8,10,10,11,14,20,35,69,130,170,170
GET,/api/recipes/ [page],993,0,14,16.390362515801016,5.245209002168849,155.8296250004787,53.32124874118832,11.134774585400972,0.0,14,15,17,18,24,36,60,87,160,160,160
GET,/api/recipes/[id]/,490,0,15,18.55979863654024,10.110583010828122,151.03091701166704,47.0,5.494501054226059,0.0,15,17,18,19,25,35,62,110,150,150,150
GET,/api/users/ [list],944,0,8,11.193032823292137,5.168667004909366,126.43137501436286,52.0,10.585324479978366,0.0,8,10,11,11,16,25,50,66,130,130,130
,Aggregated,6350,0,9,12.28567242124173,5.1198750152252614,173.14758399152197,40.16724409448819,71.20424835578669,0.0,9,11,13,14,18,25,46,66,130,170,170
