Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],465,0,12,13.681654929013181,6.726124993292615,90.11445799842477,2.0,5.20809732997444,0.0,12,14,15,16,19,23,31,50,90,90,90
GET,/api/recipes/ [list],756,0,12,14.729067750358904,6.2670000188518316,231.58020799746737,52.0,8.46735823970038,0.0,12,14,15,16,20,25,36,76,230,230,230
GET,/api/recipes/ [page],359,0,18,21.070216690377567,7.365625002421439,190.10483301826753,53.35933147632312,4.020875142926503,0.0,18,22,25,26,31,40,54,81,190,190,190
GET,/api/recipes/[id]/,164,0,23,25.67959575035053,12.646874994970858,149.51695798663422,47.0,1.83683432713077,0.0,23,25,28,29,37,49,63,73,150,150,150
GET,/api/users/ [list],291,0,12,13.906459044025015,6.766749982489273,104.94004198699258,52.0,3.2592609097259397,0.0,12,13,14,15,19,26,45,51,100,100,100
,Aggregated,2035,0,13,16.37326085404264,6.2670000188518316,231.58020799746737,40.41179361179361,22.792425949458032,0.0,13,16,18,20,25,31,49,73,190,230,230
