Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],251,0,14,14.813849423382157,7.063249999191612,35.56079100235365,2.0,3.339005872715174,0.0,14,15,17,17,21,25,30,32,36,36,36
GET,/api/recipes/ [list],454,0,14,14.883161459111975,7.280999998329207,50.11191699304618,52.0,6.039476757819478,0.0,14,16,17,18,20,23,25,31,50,50,50
GET,/api/recipes/ [page],192,0,22,23.088588108445645,7.710542005952448,56.0992079845164,53.34375,2.5541399504434796,0.0,22,25,28,30,34,38,43,49,56,56,56
GET,/api/recipes/[id]/,97,0,26,26.8440347314289,10.967624984914437,51.20020802132785,47.0,1.290372787463633,0.0,26,28,30,32,38,44,50,51,51,51,51
GET,/api/users/ [list],168,0,15,15.145741363258345,7.5225839973427355,31.12175001297146,52.0,2.234872456638045,0.0,15,16,18,19,21,23,29,30,31,31,31
,Aggregated,1162,0,15,17.26040993330751,7.063249999191612,56.0992079845164,41.00430292598967,15.45786782507981,0.0,15,18,20,22,27,31,38,41,51,56,56
