Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],1113,0,9,11.271240383906244,5.605084006674588,219.05625000363216,2.0,12.475768419443414,0.0,9,10,11,12,15,20,35,58,160,220,220
GET,/api/recipes/ [list],1895,0,9,12.03007761889388,5.262791994027793,183.0321669986006,52.0,21.241312807587843,0.0,9,10,11,12,15,22,55,100,180,180,180
GET,/api/recipes/ [page],796,0,14,17.38591383884944,5.204832996241748,244.19470800785348,53.32663316582914,8.922472292791516,0.0,14,15,17,18,23,36,73,120,240,240,240
GET,/api/recipes/[id]/,368,0,16,21.984693843399366,10.747167019871995,280.52854200359434,47.0,4.124962065009143,0.0,16,18,20,21,29,41,110,210,280,280,280
GET,/api/users/ [list],786,0,9,11.882382112527953,5.5285410198848695,187.27174997911789,52.0,8.810380932329311,0.0,9,10,11,11,16,25,43,99,190,190,190
,Aggregated,4958,0,9,13.435053393633249,5.204832996241748,280.52854200359434,40.61758773699072,55.57489651716122,0.0,9,12,13,15,19,27,53,99,220,280,280
