Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779881257,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779881258,5,,Aggregated,0.000000,0.000000,28,29,32,32,35,35,35,35,35,35,35,8,0,27,25.68076562238275,11.714749998645857,34.83745901030488,51.0
1779881259,10,,Aggregated,0.000000,0.000000,27,32,32,34,35,38,38,38,38,38,38,20,0,27,26.781783399928827,11.714749998645857,37.78666700236499,41.45
1779881260,15,,Aggregated,0.000000,0.000000,29,34,38,44,83,89,120,120,120,120,120,28,0,28,37.50310417880038,11.714749998645857,115.64520798856393,42.5
1779881261,20,,Aggregated,9.500000,0.000000,32,78,200,250,370,590,810,810,810,810,810,48,0,32,127.77450177175827,8.843084011459723,807.3678750079125,42.416666666666664
1779881262,25,,Aggregated,9.333333,0.000000,26,32,78,120,350,440,650,810,810,810,810,68,0,26,95.6839111621615,8.843084011459723,807.3678750079125,42.35294117647059
1779881263,30,,Aggregated,11.250000,0.000000,26,35,47,83,250,370,650,810,810,810,810,93,0,26,79.65896463476031,7.0484160096384585,807.3678750079125,40.634408602150536
1779881264,35,,Aggregated,13.200000,0.000000,24,34,43,75,180,350,590,650,810,810,810,125,0,24,67.83967271167785,7.0484160096384585,807.3678750079125,40.688
1779881265,40,,Aggregated,14.833333,0.000000,20,30,39,46,120,290,440,650,810,810,810,159,0,20,57.10786376653661,7.0484160096384585,807.3678750079125,39.34591194968554
1779881266,45,,Aggregated,17.571429,0.000000,18,27,34,41,94,250,440,650,810,810,810,193,0,18,50.03851124777946,7.020416000159457,807.3678750079125,40.476683937823836
1779881267,50,,Aggregated,19.375000,0.000000,16,24,30,34,75,180,370,590,810,810,810,241,0,16,42.65974205701237,6.971625000005588,807.3678750079125,41.03734439834025
1779881268,50,,Aggregated,20.888889,0.000000,15,21,27,31,52,160,360,590,810,810,810,278,0,15,38.54248740573384,6.815208005718887,807.3678750079125,41.0431654676259
1779881269,50,,Aggregated,23.700000,0.000000,14,18,25,29,46,110,350,440,810,810,810,321,0,14,35.012279990302524,6.559708999702707,807.3678750079125,40.9190031152648
1779881270,50,,Aggregated,26.200000,0.000000,14,18,23,27,43,110,290,440,810,810,810,355,0,14,32.7903406248546,6.500624993350357,807.3678750079125,40.797183098591546
1779881271,50,,Aggregated,29.500000,0.000000,14,20,25,31,57,120,290,440,810,810,810,400,0,14,34.66704303958977,6.500624993350357,807.3678750079125,40.285
1779881272,50,,Aggregated,32.200000,0.000000,14,19,25,31,54,120,250,370,810,810,810,439,0,14,33.3026799676035,6.500624993350357,807.3678750079125,40.50113895216401
1779881273,50,,Aggregated,34.800000,0.000000,14,18,24,28,50,100,250,370,810,810,810,482,0,14,31.482613171922736,6.500624993350357,807.3678750079125,40.57053941908714
