Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],165,0,16,39.57717575707868,7.332959008635953,1443.242541019572,2.0,1.8483809754447882,0.0,16,18,20,21,23,25,33,1400,1400,1400,1400
GET,/api/recipes/ [list],255,0,17,35.64863527848787,7.9489590134471655,1441.7616669961717,52.0,2.8565887802328542,0.0,17,19,20,21,24,26,32,950,1400,1400,1400
GET,/api/recipes/ [page],114,0,26,34.06510638530578,9.930041996994987,938.9910419995431,53.49122807017544,1.2770632193982172,0.0,26,30,32,33,35,41,50,63,940,940,940
GET,/api/recipes/[id]/,67,0,30,64.83850065608328,15.34124999307096,2352.2167500050273,47.0,0.7505546991200049,0.0,30,32,34,34,44,46,55,2400,2400,2400,2400
GET,/api/users/ [list],98,0,16,21.409179511354115,8.569375000661239,550.2274580067024,52.0,1.0978262763247832,0.0,16,17,18,18,22,27,32,550,550,550,550
,Aggregated,699,0,18,37.11922354782193,7.332959008635953,2352.2167500050273,39.96137339055794,7.830413950520648,0.0,18,21,23,25,31,35,48,940,2400,2400,2400
