Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779882348,10,,Aggregated,7.900000,0.000000,19,22,25,27,34,63,1400,1400,2400,2400,2400,220,0,19,75.89307804036335,7.47191600385122,2352.2167500050273,38.81363636363636
1779882349,10,,Aggregated,7.900000,0.000000,19,22,25,27,34,55,1400,1400,2400,2400,2400,229,0,19,73.61969997327039,7.47191600385122,2352.2167500050273,39.09170305676856
1779882350,10,,Aggregated,7.600000,0.000000,19,22,24,27,34,55,1400,1400,2400,2400,2400,237,0,19,71.60112588140301,7.47191600385122,2352.2167500050273,39.10548523206751
1779882351,10,,Aggregated,7.400000,0.000000,18,22,25,27,34,48,1400,1400,2400,2400,2400,245,0,18,69.93814404835278,7.47191600385122,2352.2167500050273,39.310204081632655
1779882352,10,,Aggregated,7.600000,0.000000,18,22,24,26,33,48,950,1400,2400,2400,2400,253,0,18,68.23153639457965,7.47191600385122,2352.2167500050273,39.316205533596836
1779882353,10,,Aggregated,7.800000,0.000000,18,22,24,26,33,44,950,1400,2400,2400,2400,262,0,18,66.51039408317249,7.47191600385122,2352.2167500050273,39.3587786259542
1779882354,10,,Aggregated,7.600000,0.000000,18,22,24,26,33,44,950,1400,2400,2400,2400,270,0,18,65.07955277705116,7.47191600385122,2352.2167500050273,39.15925925925926
1779882355,10,,Aggregated,7.800000,0.000000,18,21,23,26,33,44,950,1400,2400,2400,2400,279,0,18,63.52472654418639,7.47191600385122,2352.2167500050273,39.03584229390681
1779882356,10,,Aggregated,7.800000,0.000000,18,21,23,25,33,43,950,1400,2400,2400,2400,286,0,18,62.47367350636148,7.47191600385122,2352.2167500050273,38.81118881118881
1779882357,10,,Aggregated,8.200000,0.000000,18,21,24,26,33,43,950,1400,2400,2400,2400,296,0,18,61.06700605340774,7.47191600385122,2352.2167500050273,39.05067567567568
1779882358,10,,Aggregated,7.900000,0.000000,18,21,24,26,32,41,940,1400,2400,2400,2400,304,0,18,59.9498766473277,7.47191600385122,2352.2167500050273,38.89473684210526
1779882359,10,,Aggregated,8.300000,0.000000,18,21,23,26,32,41,940,1400,2400,2400,2400,314,0,18,58.59308917454302,7.47191600385122,2352.2167500050273,39.15923566878981
