Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ingredients/ [list],769,0,11,26.938177073045583,5.888582993065938,544.1778340027668,2.0,8.614923887785062,0.0,11,13,15,17,40,100,240,430,540,540,540
GET,/api/recipes/ [list],1297,0,11,26.576018310196872,5.347457976313308,645.6882499915082,52.0,14.529982161842947,0.0,11,13,15,18,40,100,250,390,640,650,650
GET,/api/recipes/ [page],496,0,17,39.30700529664107,6.257625005673617,807.3678750079125,53.354838709677416,5.556569893811952,0.0,17,20,24,28,59,170,370,480,810,810,810
GET,/api/recipes/[id]/,266,0,18,43.828307958214744,10.67275000968948,564.5322500204202,47.0,2.9799346607943127,0.0,18,23,27,30,62,180,400,540,560,560,560
GET,/api/users/ [list],495,0,11,33.58024981800664,5.839291989104822,615.5097500013653,52.0,5.545367131929266,0.0,11,13,16,18,43,160,390,510,620,620,620
,Aggregated,3323,0,12,30.98446648252476,5.347457976313308,807.3678750079125,40.23111646102919,37.22677773616354,0.0,12,15,18,21,46,130,310,450,640,810,810
